gene,moduleLPV
Mcavernosa04775,0
Mcavernosa04779,0
Mcavernosa04777,0
Mcavernosa04776,0
Mcavernosa04784,0
Mcavernosa04783,0
Mcavernosa04785,0
Mcavernosa04787,0
Mcavernosa04788,0
Mcavernosa04790,0
Mcavernosa04789,0
Mcavernosa04791,0
Mcavernosa04795,0
Mcavernosa04792,0
Mcavernosa04793,0
Mcavernosa04797,0
Mcavernosa04794,0
Mcavernosa04798,0
Mcavernosa04802,0
Mcavernosa04800,0
Mcavernosa04799,0
Mcavernosa04810,0
Mcavernosa04806,0
Mcavernosa04807,0
Mcavernosa04811,0
Mcavernosa04809,0
Mcavernosa04816,0
Mcavernosa04818,0
Mcavernosa04817,0
Mcavernosa04815,0
Mcavernosa04819,0
Mcavernosa04814,0
Mcavernosa04840,0
Mcavernosa04832,0
Mcavernosa04833,0
Mcavernosa04824,0
Mcavernosa04838,0
Mcavernosa04823,0
Mcavernosa04827,0
Mcavernosa04822,0
Mcavernosa04821,0
Mcavernosa04820,0
Mcavernosa04842,0
Mcavernosa04839,0
Mcavernosa04834,0
Mcavernosa04825,0
Mcavernosa04829,0
Mcavernosa04826,0
Mcavernosa04837,0
Mcavernosa04836,0
Mcavernosa04845,3.54837411610679
Mcavernosa04843,0
Mcavernosa04848,0
Mcavernosa04846,0
Mcavernosa04849,0
Mcavernosa04853,0
Mcavernosa04851,0
Mcavernosa04852,0
Mcavernosa04855,0
Mcavernosa04856,0
Mcavernosa04854,0
Mcavernosa04858,0
Mcavernosa04857,0
Mcavernosa04867,0
Mcavernosa04863,0
Mcavernosa04862,0
Mcavernosa04869,0
Mcavernosa04868,0
Mcavernosa04866,0
Mcavernosa04865,0
Mcavernosa04859,0
Mcavernosa04877,0
Mcavernosa04878,0
Mcavernosa04874,0
Mcavernosa04873,0
Mcavernosa04875,0
Mcavernosa04871,0
Mcavernosa04879,0
Mcavernosa04888,0
Mcavernosa04885,0
Mcavernosa04882,0
Mcavernosa04883,0
Mcavernosa04887,0
Mcavernosa04886,0
Mcavernosa04880,0
Mcavernosa04889,0
Mcavernosa04884,0
Mcavernosa04881,0
Mcavernosa04890,0
Mcavernosa04895,0
Mcavernosa04893,0
Mcavernosa04894,0
Mcavernosa04891,0
Mcavernosa04892,0
Mcavernosa04900,0
Mcavernosa04906,0
Mcavernosa04901,0
Mcavernosa04898,0
Mcavernosa04897,0
Mcavernosa04902,0
Mcavernosa04899,0
Mcavernosa04896,0
Mcavernosa04903,0
Mcavernosa04905,0
Mcavernosa04910,0
Mcavernosa04914,0
Mcavernosa04908,0
Mcavernosa04926,0
Mcavernosa04918,0
Mcavernosa04924,0
Mcavernosa04916,0
Mcavernosa04917,0
Mcavernosa04921,0
Mcavernosa04919,0
Mcavernosa04915,8.77060189645769
Mcavernosa04932,0
Mcavernosa04927,0
Mcavernosa04928,0
Mcavernosa04929,0
Mcavernosa04933,0
Mcavernosa04935,0
Mcavernosa04940,0
Mcavernosa04934,0
Mcavernosa04941,0
Mcavernosa04938,0
Mcavernosa04936,0
Mcavernosa04943,0
Mcavernosa04945,0
Mcavernosa04947,0
Mcavernosa04944,0
Mcavernosa04950,0
Mcavernosa04949,0
Mcavernosa04948,0
Mcavernosa04955,0
Mcavernosa04959,0
Mcavernosa04958,0
Mcavernosa04953,0
Mcavernosa04952,0
Mcavernosa04951,0
Mcavernosa04954,0
Mcavernosa04962,0
Mcavernosa04960,0
Mcavernosa04961,0
Mcavernosa04964,0
Mcavernosa04963,0
Mcavernosa04965,0
Mcavernosa04966,0
Mcavernosa04971,0
Mcavernosa04967,0
Mcavernosa04970,0
Mcavernosa04969,0
Mcavernosa04968,0
Mcavernosa04975,0
Mcavernosa04974,0
Mcavernosa04976,0
Mcavernosa04987,0
Mcavernosa04984,0
Mcavernosa04981,0
Mcavernosa04978,0
Mcavernosa04982,0
Mcavernosa04985,0
Mcavernosa04983,0
Mcavernosa04977,0
Mcavernosa04979,0
Mcavernosa04986,0
Mcavernosa04980,0
Mcavernosa04992,0
Mcavernosa04989,0
Mcavernosa04993,0
Mcavernosa04991,0
Mcavernosa04994,0
Mcavernosa04988,0
Mcavernosa04990,0
Mcavernosa05003,0
Mcavernosa04995,0
Mcavernosa04999,0
Mcavernosa05005,0
Mcavernosa05001,0
Mcavernosa04996,0
Mcavernosa05004,0
Mcavernosa05002,0
Mcavernosa05000,0
Mcavernosa05010,0
Mcavernosa05011,0
Mcavernosa05006,0
Mcavernosa05007,0
Mcavernosa05013,0
Mcavernosa05014,0
Mcavernosa05071,0
Mcavernosa05081,0
Mcavernosa05080,0
Mcavernosa05078,0
Mcavernosa05076,0
Mcavernosa05077,0
Mcavernosa05073,0
Mcavernosa05084,0
Mcavernosa05082,0
Mcavernosa05083,0
Mcavernosa05090,0
Mcavernosa05088,0
Mcavernosa05096,0
Mcavernosa05092,0
Mcavernosa05095,0
Mcavernosa05094,0
Mcavernosa05091,0
Mcavernosa05093,0
Mcavernosa05085,0
Mcavernosa05089,0
Mcavernosa05105,0
Mcavernosa05103,0
Mcavernosa05106,0
Mcavernosa05108,0
Mcavernosa05098,0
Mcavernosa05100,0
Mcavernosa05099,0
Mcavernosa05101,0
Mcavernosa05104,0
Mcavernosa05118,0
