# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 14:59:08 CDT 2019 [seed=1572551891175]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
55000	-233206.80459363933	-211.2351403164139	-232995.5694533229	0.09355850482535437	6.091766930260654	2.517333817627404	3.810571647756718	0.22008236168583514	0.2530346162496016	0.283380055851594	0.2435029662129692	1.0	1.0	-232995.5694533229	0.0	-209.58732781621137
56000	-233206.3851808653	-211.68705247154176	-232994.69812839376	0.09174937054162971	6.115298218672861	2.5839855967613605	3.810571647756718	0.22225847109946328	0.2551395674487825	0.28079375813496993	0.24180820331678413	1.0	1.0	-232994.69812839376	0.0	-210.01310729200202
57000	-233193.8381371486	-211.66966259767364	-232982.1684745509	0.092159963788857	6.1184591127492896	2.902635568653485	3.810571647756718	0.22374083810498147	0.25941772068092883	0.28079375813496993	0.23604768307911966	1.0	1.0	-232982.1684745509	0.0	-209.87943128898436
58000	-233193.76304498577	-210.8866092583357	-232982.87643572743	0.09135802858293733	6.073913871317001	2.647581749938563	3.820110173701294	0.22465397463403725	0.25941772068092883	0.28079375813496993	0.23513454655006388	1.0	1.0	-232982.87643572743	0.0	-209.18530791074795
59000	-233169.20846040288	-211.3950706995567	-232957.8133897033	0.09150268019592728	6.095629539976499	2.7023262994252626	3.7898039927076033	0.2193316040598077	0.25941772068092883	0.27968942112787537	0.24156125413138796	1.0	1.0	-232957.8133897033	0.0	-209.68298229485634
60000	-233167.70927189034	-211.9366329747382	-232955.7726389156	0.09114038721155612	6.1150778698115085	2.590248609185151	3.746282038644703	0.21932534586964647	0.2592508367725893	0.27968942112787537	0.24173439622988874	1.0	1.0	-232955.7726389156	0.0	-210.28086797672594
61000	-233160.49888583837	-212.67564477662077	-232947.82324106176	0.0934199646800329	6.139771187839138	3.0500455992002933	3.8087220055307576	0.2260108937930122	0.25264333074994866	0.2796113792271503	0.24173439622988874	1.0	1.0	-232947.82324106176	0.0	-210.8364664659863
62000	-233154.1152121239	-211.6341558188255	-232942.48105630509	0.09091014668339063	6.085654790437001	2.9540913601247523	3.819735615687449	0.2260108937930122	0.25838145216288283	0.2791082528375131	0.2364994012065917	1.0	1.0	-232942.48105630509	0.0	-209.8234294409631
63000	-233167.69261234542	-211.67553453685275	-232956.01707780856	0.09191876656179004	6.0893003543058395	2.54491372943739	3.703237927252025	0.2229368675939218	0.25644322014932286	0.2810464848510731	0.23957342740568208	1.0	1.0	-232956.01707780856	0.0	-210.05131263846621
64000	-233159.26457358478	-211.44499060353183	-232947.81958298123	0.09100162893912005	6.0848983701198645	2.787810059361024	3.739699888318759	0.2229368675939218	0.25651522455088105	0.2809744804495149	0.23957342740568208	1.0	1.0	-232947.81958298123	0.0	-209.71784164598736
65000	-233154.69907608532	-212.3731883833682	-232942.32588770194	0.09167770725265494	6.118098825942013	2.9614625757271433	3.6953295563984563	0.2229368675939218	0.2580832192558871	0.2809744804495149	0.238005432700676	1.0	1.0	-232942.32588770194	0.0	-210.59993938404705
66000	-233117.79456927758	-212.45440249895756	-232905.34016677862	0.09181624796356759	6.117641278322941	3.0045033585672813	3.7365571745551915	0.2229368675939218	0.2580832192558871	0.27789483537604776	0.24108507777414312	1.0	1.0	-232905.34016677862	0.0	-210.6534097577754
67000	-233120.27629576193	-211.99777571876783	-232908.27852004315	0.09238197490114927	6.1079789422362545	2.587224309542015	3.7820502009309234	0.22225215875532006	0.25710396436732164	0.2788327337362399	0.2418111431411182	1.0	1.0	-232908.27852004315	0.0	-210.3316970004913
68000	-233130.62361691016	-211.63267683380204	-232918.99094007636	0.09202532520818045	6.061992266809738	2.4866372158315153	3.674889422715676	0.22225215875532006	0.25710396436732164	0.2788327337362399	0.2418111431411182	1.0	1.0	-232918.99094007636	0.0	-210.04080672686072
69000	-233129.306791929	-211.9834095472998	-232917.3233823817	0.0917436739754853	6.100355462058274	2.6719589188215274	3.857313079977047	0.22278030285733175	0.25664159720627644	0.2787669567952734	0.2418111431411182	1.0	1.0	-232917.3233823817	0.0	-210.26111073320013
70000	-233124.6518854125	-212.86863433322293	-232911.78325107927	0.09233881808563175	6.112832708307722	3.1000570579317763	3.829979776456611	0.22188705732036007	0.2575348427432481	0.2787669567952734	0.2418111431411182	1.0	1.0	-232911.78325107927	0.0	-211.00641482922825
71000	-233117.8436111316	-212.44084754613894	-232905.40276358544	0.09181630454162498	6.099275026293866	3.024621933061423	3.747678930913015	0.22155109061400008	0.25782245275490373	0.2787669567952734	0.2418594998358226	1.0	1.0	-232905.40276358544	0.0	-210.62960092251777
72000	-233110.31514253237	-212.41419583299773	-232897.90094669937	0.09152085207776753	6.0969169171015505	2.968038935522437	3.7524938837875155	0.22155109061400008	0.2561445391504442	0.28173956351868523	0.24056480671687033	1.0	1.0	-232897.90094669937	0.0	-210.6202854943611
73000	-233123.84769140888	-213.53799445143468	-232910.30969695744	0.09278490534313658	6.153074632088863	3.0974731529025767	3.7234547611329187	0.22070022401299627	0.25768236183968957	0.2810526074304437	0.24056480671687033	1.0	1.0	-232910.30969695744	0.0	-211.71075136335
74000	-233118.440696515	-212.79674829980823	-232905.64394821518	0.09170190988283877	6.1023648067368566	2.4620207300983097	3.7234547611329187	0.22070022401299627	0.25445542051864783	0.2810526074304437	0.24379174803791206	1.0	1.0	-232905.64394821518	0.0	-211.19910943111284
75000	-233118.6808921979	-212.963899155862	-232905.71699304204	0.09181797973759004	6.149204064569786	2.905735953653146	3.7358638880659942	0.21949463009352663	0.258264236139173	0.2828245123335673	0.23941662143373296	1.0	1.0	-232905.71699304204	0.0	-211.19655533095062
76000	-233106.5319008331	-212.40450752300535	-232894.1273933101	0.09106247283808841	6.096544076361793	3.005485687284448	3.7358638880659942	0.22230051270252335	0.258264236139173	0.2776524708557849	0.2417827803025186	1.0	1.0	-232894.1273933101	0.0	-210.6034112153295
77000	-233097.66853723527	-213.74928841813397	-232883.91924881714	0.0909852156897014	6.124262115050016	2.393413170315213	3.817005006546892	0.22230051270252335	0.2534484039420965	0.2824031486907846	0.24184793466459542	1.0	1.0	-232883.91924881714	0.0	-212.149903354185
78000	-233116.68096724284	-212.1792516296803	-232904.50171561315	0.09037290825694684	6.097647517072828	2.885476848859227	3.752782821071	0.2204617243598937	0.2552871922847261	0.2793010459231622	0.24495003743221783	1.0	1.0	-232904.50171561315	0.0	-210.41345967714645
79000	-233107.88907926384	-214.79182808898435	-232893.09725117486	0.0906503015768075	6.127264195455216	2.2850796107399463	3.7606282376532536	0.2204617243598937	0.2591948153002167	0.27929899957670146	0.241044460763188	1.0	1.0	-232893.09725117486	0.0	-213.25680463285258
80000	-233086.7441151344	-211.59995288377087	-232875.14416225065	0.09256743916172534	6.0897747810258736	2.671024347812995	3.7704136927793632	0.21868027544561167	0.2591948153002167	0.2810804484909835	0.241044460763188	1.0	1.0	-232875.14416225065	0.0	-209.90572753971148
81000	-233061.2524255123	-212.6173242627896	-232848.6351012495	0.09125457176635668	6.0922155022410385	3.0375737743831905	3.720761022507188	0.21868027544561167	0.25891425949361563	0.2844580322297227	0.23794743283104985	1.0	1.0	-232848.6351012495	0.0	-210.8104780306151
82000	-233073.10110006022	-212.56113441204803	-232860.53996564817	0.0911507453721014	6.114061585757411	2.635232348529103	3.7669943579187475	0.22194283178910384	0.25894345089357484	0.2844580322297227	0.23465568508759846	1.0	1.0	-232860.53996564817	0.0	-210.8814967821358
83000	-233052.3077022617	-212.3155028984218	-232839.99219936327	0.09119427709420849	6.1075622084546035	2.699647375381317	3.7669943579187475	0.22157123438047122	0.2593150483022075	0.2844580322297227	0.23465568508759846	1.0	1.0	-232839.99219936327	0.0	-210.61171546165485
84000	-233049.11025623998	-213.49022673659601	-232835.6200295034	0.09150853765074558	6.107872490456873	2.3638519809037954	3.7674769833857886	0.22157123438047122	0.257912735869686	0.2844580322297227	0.2360579975201199	1.0	1.0	-232835.6200295034	0.0	-211.91911311040366
85000	-233047.0634643823	-211.80811331322224	-232835.2553510691	0.09058170799076518	6.073620149903552	2.8042110435259864	3.7380357392721906	0.22339502344286916	0.25916091101945804	0.27911371402718976	0.23833035151048293	1.0	1.0	-232835.2553510691	0.0	-210.07563438981882
86000	-233044.9250316257	-212.92625068836102	-232831.99878093734	0.09156890009196052	6.119342685597011	2.5292541006252187	3.793920261174596	0.22339502344286916	0.25916091101945804	0.2787630322128624	0.23868103332481025	1.0	1.0	-232831.99878093734	0.0	-211.27903403344973
87000	-233053.358153761	-212.33976321741076	-232841.01839054358	0.09042721785630246	6.070247844919516	3.1044179783963504	3.735037148604863	0.2221747022423214	0.2549594908970157	0.2787630322128624	0.24410277464780036	1.0	1.0	-232841.01839054358	0.0	-210.50654618729035
88000	-233041.98414073582	-213.63538961025898	-232828.34875112557	0.0904109560181597	6.050731150742674	2.226758511776256	3.791282219182	0.223768985657977	0.2549594908970157	0.2789643798953392	0.24230714354966795	1.0	1.0	-232828.34875112557	0.0	-212.11639428713687
89000	-233037.94124394364	-211.59427220756697	-232826.3469717361	0.0899601290252818	6.06577717177881	2.6887049280061013	3.7654501821335584	0.223768985657977	0.2549594908970157	0.2828135597298547	0.2384579637151524	1.0	1.0	-232826.3469717361	0.0	-209.89504186461315
90000	-233030.96443634244	-212.66342539332695	-232818.30101094913	0.09184191621724824	6.111917215115075	2.585279225363942	3.748442307684989	0.223768985657977	0.2577479015205254	0.2790143605028376	0.23946875231865983	1.0	1.0	-232818.30101094913	0.0	-211.00888580685736
91000	-233029.61045710987	-212.25060260532297	-232817.35985450455	0.09028662161803806	6.091966847999793	2.8553071363090785	3.7107110395722547	0.223768985657977	0.2577479015205254	0.27836245395294607	0.24012065886855136	1.0	1.0	-232817.35985450455	0.0	-210.50888183721165
92000	-233041.3949739997	-213.36394185805915	-232828.03103214165	0.09071096265094761	6.123765821290075	3.0080475924871264	3.8371144111823408	0.223768985657977	0.2554370044554736	0.27836245395294607	0.24243155593360316	1.0	1.0	-232828.03103214165	0.0	-211.52958104640993
93000	-233029.6581108367	-211.99170927225737	-232817.66640156443	0.08882407494933937	6.055393228195546	2.544941816240772	3.7255627491267345	0.223768985657977	0.25332065390289255	0.28047880450552715	0.24243155593360316	1.0	1.0	-232817.66640156443	0.0	-210.3602650086005
94000	-233030.983961802	-212.34284942559185	-232818.6411123764	0.08956025143224187	6.090154288385332	2.7579251069956014	3.745887113180124	0.22317916275416877	0.25799583506900947	0.2800677252429027	0.23875727693391893	1.0	1.0	-232818.6411123764	0.0	-210.6244867248631
95000	-233031.83542343788	-212.24668570034098	-232819.58873773753	0.09271777340833844	6.09524487831234	2.768579965559486	3.810368394160447	0.22317916275416877	0.2552842694994764	0.2800677252429027	0.241468842503452	1.0	1.0	-232819.58873773753	0.0	-210.50380386281816
96000	-233034.74792309813	-213.75318855107372	-232820.99473454704	0.09119399875098441	6.152910217950223	3.128754470618255	3.7778945031392297	0.22132927675116637	0.2552842694994764	0.2800677252429027	0.2433187285064544	1.0	1.0	-232820.99473454704	0.0	-211.898391838778
97000	-233026.44007959185	-211.766612504214	-232814.67346708765	0.09131536114867056	6.080515149704095	2.846433767988171	3.7255277323731883	0.22132927675116637	0.2574166934312847	0.2800677252429027	0.24118630457464607	1.0	1.0	-232814.67346708765	0.0	-210.02322042228414
98000	-233028.67227573987	-211.62459722007682	-232817.0476785198	0.09069123211127368	6.075176397872455	2.873533754503317	3.723265336517301	0.22137814822266313	0.2540064513505609	0.28188337426482	0.24273202616195586	1.0	1.0	-232817.0476785198	0.0	-209.87245937222042
99000	-233044.2585377147	-212.61441747017918	-232831.6441202445	0.09316962350257972	6.136767016488631	2.6752659096590055	3.776280150069086	0.2214647425382575	0.25451630915720985	0.279138849116756	0.24488009918777656	1.0	1.0	-232831.6441202445	0.0	-210.91672435849196
100000	-233045.10937963938	-214.47841191755384	-232830.63096772184	0.09201987967744223	6.097333921437972	2.2422284628707625	3.669685561958714	0.2214647425382575	0.25451630915720985	0.279138849116756	0.24488009918777656	1.0	1.0	-232830.63096772184	0.0	-212.99169274919768
101000	-233023.48290577324	-211.6884082296282	-232811.79449754363	0.09177032394832475	6.0697342244436125	2.59301386022916	3.80743176496761	0.2214647425382575	0.25384441284524534	0.27981074542872053	0.24488009918777656	1.0	1.0	-232811.79449754363	0.0	-210.01197752807576
102000	-233035.16640493216	-211.86781480667386	-232823.2985901255	0.09030364841192401	6.078933782006092	2.6419752615916843	3.731367429629136	0.22271893750183214	0.2553751686092983	0.2770257947010929	0.24488009918777656	1.0	1.0	-232823.2985901255	0.0	-210.19707977782346
103000	-233034.092104809	-213.82968908483275	-232820.26241572417	0.0909340158654359	6.107753638269153	2.311039137220323	3.7711265459978964	0.2217892061623775	0.2553751686092983	0.2770257947010929	0.2458098305272312	1.0	1.0	-232820.26241572417	0.0	-212.2799998794548
