# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 15:25:31 CDT 2019 [seed=1572551891175]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1780000	-232074.30585701106	-232286.90079034967	-212.5949333386041	0.9670538286027488	-224640.94093268647
1790000	-232089.72610463764	-232301.76406245682	-212.03795781917347	0.9670538286027488	-224655.29616667234
1800000	-232073.24810374645	-232285.25696617636	-212.00886242991305	0.9670538286027488	-224639.33195743352
1810000	-232073.80039753043	-232284.68596039203	-210.88556286159334	0.9670538286027488	-224638.74275568352
1820000	-232085.44526483215	-232296.2931444428	-210.8478796106557	0.9670538286027488	-224649.9662859403
1830000	-232075.18092946362	-232286.50946904867	-211.3285395850447	0.9670538286027488	-224640.5207810985
1840000	-232083.72848933312	-232295.58603780344	-211.85754847033232	0.9670538286027488	-224649.31574048076
1850000	-232085.80319553078	-232297.30861038264	-211.50541485184723	0.9670538286027488	-224650.96995943395
1860000	-232078.9613732284	-232289.7094223996	-210.7480491711913	0.9670538286027488	-224643.59618330118
1870000	-232074.46884201866	-232285.76355584434	-211.294713825683	0.9670538286027488	-224639.79832844916
1880000	-232092.2437926752	-232303.82153412537	-211.57774145017427	0.9670538286027488	-224657.2706901593
1890000	-232077.72388651158	-232289.72338395743	-211.99949744586462	0.9670538286027488	-224643.65091530848
1900000	-232084.07415758746	-232295.88855931367	-211.81440172620268	0.9670538286027488	-224649.60687354542
1910000	-232080.5998103971	-232292.02505939512	-211.42524899800955	0.9670538286027488	-224645.8578400649
1920000	-232076.8971877478	-232287.87294567208	-210.97575792429635	0.9670538286027488	-224641.8277135823
1930000	-232075.5512347363	-232288.15220034882	-212.60096561251123	0.9670538286027488	-224642.15131225766
1940000	-232075.63089094195	-232288.79400588144	-213.16311493948558	0.9670538286027488	-224642.79049342326
1950000	-232077.64386139982	-232289.68663752574	-212.04277612591625	0.9670538286027488	-224643.61680539785
1960000	-232088.10746183177	-232299.09999123527	-210.99252940349436	0.9670538286027488	-224652.6854235341
1970000	-232065.7991171898	-232278.29496357386	-212.49584638404906	0.9670538286027488	-224632.61537041885
1980000	-232081.87303069304	-232292.6527362766	-210.77970558355548	0.9670538286027488	-224646.44356921228
1990000	-232071.6864748488	-232282.97326298527	-211.28678813645683	0.9670538286027488	-224637.09970393576
